* Denotes afternoon catch,,,,,,,,,
Date Range: 1 January to 31 December 2017,,,,,,,,,
"Locations: Gold Coast, Nth Stradbroke Island, Sunshine Coast, Rainbow Beach, Woongarra Coast (Bundaberg), Tannum Sands, Capricorn Coast, Mackay, Townsville and Cairns",,,,,,,,,
,,,,,,,,,
Species Name,Species Code,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Number Caught
BULL WHALER,37018021,17/04/2017,Capricorn Coast,Cooee Bay,-23.1388,150.7628,1.05,25,1
COMMON BLACKTIP WHALERS,37018039,17/04/2017,Townsville,Florence Bay,-19.1217,146.8853333,1.17,27,1
TIGER SHARK,37018022,19/04/2017,Gladstone,Tannum Sands,-23.93908313,151.3764579,2.4,23,1
BULL WHALER,37018021,21/04/2017,Capricorn Coast,Emu Park,-23.25321667,150.8348833,0.72,25,1
LONG NOSE WHALER,37018023,22/04/2017,Sunshine Coast North,Noosa,-26.37976035,153.0920205,1.67,24,1
PIGEYE WHALER *,37018026,22/04/2017,Townsville,Florence Bay,-19.12328333,146.8853167,2.05,26.5,1
TIGER SHARK,,22/04/2017,Townsville,Alma Bay,-19.14753333,146.8737167,1.08,26.5,1
TIGER SHARK,37018022,23/04/2017,Bundaberg,Neilson Park,-24.80055716,152.4622399,1.6,21,1
TIGER SHARK,37018022,23/04/2017,Bundaberg,Kellys Beach,-24.81703091,152.4719534,1.71,21,1
BULL WHALER,37018021,25/04/2017,Capricorn Coast,Lammermoor Beach,-23.14941667,150.7676667,1.15,22,1
TIGER SHARK,37018022,25/04/2017,Townsville,Radical Bay,-19.10761667,146.8752333,2,26,1
TIGER SHARK,37018022,25/04/2017,Mackay,Harbour Beach,-21.11751667,149.2283167,1.8,25,1
TIGER SHARK,37018022,25/04/2017,Mackay,Lamberts Beach,-21.0721,149.2315667,2,25,1
BULL WHALER,37018021,26/04/2017,Capricorn Coast,Fishermans Beach,-23.24608333,150.8277667,0.93,22,1
BULL WHALER,37018021,26/04/2017,Gladstone,Tannum Sands,-23.93771084,151.3751523,1.455,23,1
PIGEYE WHALER,37018026,26/04/2017,Cairns,Buchans  ,-16.72644833,145.6635827,0.82,25,1
TIGER SHARK,37018022,26/04/2017,Rainbow Beach,RAINBOW B,-25.90383941,153.0804358,1.75,25,1
LONG NOSE WHALER *,37018023,27/04/2017,Sunshine Coast North,Coolum Beach,-26.5307,153.0985167,1.23,24,1
TIGER SHARK,37018022,27/04/2017,Sunshine Coast North,Coolum Beach,26.53043,153.09851,2.23,24,1
PIGEYE WHALER,37018026,28/04/2017,Cairns,Ellis Beach,-16.72105654,145.649557,1.04,25,1
TIGER SHARK,37018022,28/04/2017,Cairns,Buchans  ,-16.72648688,145.6638051,2.488,25,1
TIGER SHARK,37018022,29/04/2017,Townsville,Alma Bay,-19.15188333,146.8744,1.6,26,1
TIGER SHARK,37018022,30/04/2017,Bundaberg,Neilson Park,-24.80109226,152.462938,2.61,20,1
TIGER SHARK,37018022,1/05/2017,Townsville,Florence Bay,-19.1241,146.8852833,2.9,25.5,1
TIGER SHARK,37018022,1/05/2017,Rainbow Beach,RAINBOW B,-25.89186029,153.0942792,2.65,24.4,1
BULL WHALER,37018021,2/05/2017,Townsville,Horseshoe Bay,-19.11546667,146.8527667,1.9,25.5,1
BULL WHALER,37018021,2/05/2017,Mackay,Lamberts Beach,-21.07363333,149.2317167,1.6,25,1
TIGER SHARK,37018022,2/05/2017,Townsville,Nelly Bay,-19.17538333,146.8495167,1.08,25.5,1
TIGER SHARK,37018022,2/05/2017,Mackay,Harbour Beach,-21.11833333,149.2280333,2.1,25,1
TIGER SHARK,37018022,3/05/2017,Sunshine Coast North,Yaroomba Beach,26.55479,153.10434,1.435,24,1
TIGER SHARK,37018022,4/05/2017,Townsville,Radical Bay,-19.10826667,146.8765667,2.8,25.5,1
GREAT HAMMERHEAD,37019002,6/05/2017,Sunshine Coast North,Noosa,-26.37880398,153.0948075,1.13,21.17,1
TIGER SHARK,37018022,6/05/2017,Townsville,Radical Bay,-19.10826667,146.8765667,1.08,25.5,1
TIGER SHARK,37018022,9/05/2017,Townsville,Horse Shoe Bay,-19.10445,146.85945,0.8,25.5,1
SLIT EYE SHARK,37018005,10/05/2017,Cairns,Trinity,-16.77467558,145.6998996,0.78,25,1
GREAT HAMMERHEAD,37019002,11/05/2017,Sunshine Coast North,Marcoola Beach,-26.58481291,153.0990649,1.575,21.21,1
BULL WHALER,37018021,13/05/2017,Capricorn Coast,Emu Park,-23.2646,150.8319167,0.93,22,1
SCALLOPED HAMMERHEAD,37019001,13/05/2017,Townsville,Radical Bay,-19.10761667,146.8752333,1.7,25,1
TIGER SHARK,37018022,13/05/2017,Townsville,Horseshoe Bay,-19.103,146.8597667,1.09,25,1
TIGER SHARK,37018022,13/05/2017,Mackay,Harbour Beach,-21.11833333,149.2280333,2.1,25,1
LONG NOSE WHALER,37018023,17/05/2017,Gold Coast,Kirra Beach,-28.1534623,153.5476161,1.1,22.06,1
TIGER SHARK,37018022,18/05/2017,Bundaberg,Neilson Park,-24.79982596,152.4624809,1.93,20,1
TIGER SHARK,37018022,18/05/2017,Bundaberg,Kellys Beach,-24.82670593,152.4707625,2.22,20,1
LONG NOSE WHALER,37018023,19/05/2017,Rainbow Beach,Rainbow Beach,-25.90588151,153.0880183,0.93,24,1
COMMON BLACKTIP WHALER,37018039,20/05/2017,Townsville,Horseshoe Bay,-19.10221667,146.85995,1.4,24,1
TIGER SHARK,37018022,20/05/2017,Townsville,Alma Bay,-19.15188333,146.8744,1.85,24,1
TIGER SHARK,37018022,20/05/2017,Mackay,Lamberts Beach,-21.0712,149.2312167,2.3,23,1
TIGER SHARK,37018022,21/05/2017,Bundaberg,Kellys Beach,-24.82627623,152.4705605,1.49,20,1
LONG NOSE WHALER,37018023,22/05/2017,Gold Coast,Kirra Beach,-28.1584513,153.5303967,1.1,21,1
SCALLOPED HAMMERHEAD,37019001,22/05/2017,Townsville,Alma Baye,-19.15101667,146.8742333,1.8,24,1
LONG NOSE WHALER,37018023,23/05/2017,Rainbow Beach,Rainbow Beach,-25.90369897,153.0802892,1.02,24,1
TIGER SHARK,37018022,23/05/2017,Bundaberg,Kellys Beach,-24.76374355,152.5008729,3.17,20,1
TIGER SHARK,37018022,24/05/2017,Mackay,Lamberts Beach,-21.0721,149.2315667,2.1,23,1
AUST SHARPNOSE SHARK,37018024,25/05/2017,Capricorn Coast,Tanby Point,-23.2301768,150.8243029,0.68,22,1
TIGER SHARK,37018022,25/05/2017,Mackay,Lamberts Beach,-21.07446667,149.2318167,2.2,23,1
LONG NOSE WHALER,37018023,27/05/2017,Gold Coast,Main Beach,-27.972575,153.4351167,1.4,22.45,1
SCALLOPED HAMMERHEAD,37019001,27/05/2017,Gold Coast,Surfers Paradise,-28.0021,153.4369167,1,22.45,1
TIGER SHARK,37018022,27/05/2017,Cairns,Trinity,-16.77852828,145.7017918,2.2,24,1
TIGER SHARK,37018022,27/05/2017,Mackay,Harbour Beach,-21.11905,149.2277667,2.15,23,1
TIGER SHARK,37018022,31/05/2017,Cairns,Trinity,-16.77461615,145.6998177,0.985,24,1
TIGER SHARK,37018022,31/05/2017,Sunshine Coast North,Noosa,-26.36990894,153.1109125,2.2,23,1
TIGER SHARK,37018022,4/06/2017,Bundaberg,Neilson Park,-24.79843503,152.4604534,1.93,19,1
TIGER SHARK,37018022,5/06/2017,Cairns,Ellis Beach,-16.7213282,145.6500923,1.705,22,1
TIGER SHARK,37018022,5/06/2017,Townsville,Horseshoe Bay,-19.11121667,146.8424833,1.2,23,1
SCALLOPED HAMMERHEAD,37019001,6/06/2017,Gold Coast,Miami Beach,-28.057983,153.448832,1.65,21.87,1
TIGER SHARK,37018022,6/06/2017,Rainbow Beach,Rainbow Beach,-25.89565545,153.0990221,2.1,22.7,1
TIGER SHARK,37018022,7/06/2017,Cairns,Ellis Beach,-16.72135988,145.6501345,1.58,22,1
TIGER SHARK,37018022,7/06/2017,Townsville,Horseshoe Bay,-19.10445,146.85945,1.25,22.5,1
TIGER SHARK,37018022,7/06/2017,Gladstone,Tannum Sands,-23.94030949,151.377026,1.75,19,1
TIGER SHARK,37018022,7/06/2017,Bundaberg,Kellys Beach,-24.82528604,152.4711635,1.91,19,1
WHITE SHARK,37010003,7/06/2017,Gold Coast,Main Beach,-27.9665568,153.4361196,2.18,21.5,1
TIGER SHARK,37018022,8/06/2017,Bundaberg,Kellys Beach,-24.82647472,152.4709178,2.215,19,1
TIGER SHARK,37018022,8/06/2017,Nth Stradbroke Is.,Cylinder Beach,-27.41378592,153.5098315,2,21,1
TIGER SHARK,37018022,9/06/2017,Townsville,Horse Shoe Bay,-19.11121667,146.8424833,3.3,22.5,1
TIGER SHARK,37018022,11/06/2017,Mackay,Lamberts Beach,-21.0721,149.2315667,2.4,23,1
DUSKY WHALER,37018003,13/06/2017,Gold Coast,Broadbeach,-28.01254813,153.4321288,2.27,21,1
TIGER SHARK,37018022,13/06/2017,Mackay,Harbour Beach,-21.12331667,149.22685,2,23,1
